Crop_Year,Season,Crop,Area,Production
1997,Kharif     ,Arhar/Tur,17600,6300
1997,Kharif     ,Bajra,274100,152800
1997,Kharif     ,Gram,40800,18600
1997,Kharif     ,Jowar,900,1100
1997,Kharif     ,Maize,4400,4700
1997,Kharif     ,Moong(Green Gram),10200,900
1997,Kharif     ,Pulses total,451,130
1997,Kharif     ,Ragi,2600,2100
1997,Kharif     ,Rice,5900,7200
1997,Kharif     ,Sugarcane,45900,38940
1997,Kharif     ,Total foodgrain,3384,1836
1997,Kharif     ,Urad,1600,800
1997,Rabi       ,Jowar,598400,217000
1997,Rabi       ,Maize,6200,9100
1997,Rabi       ,Other  Rabi pulses,60,3
1997,Rabi       ,Wheat,79700,87100
1997,Summer     ,Maize,1100,1900
1997,Whole Year ,Cotton(lint),98,17900
1998,Kharif     ,Arhar/Tur,18800,9700
1998,Kharif     ,Bajra,302400,243900
1998,Kharif     ,Castor seed,400,100
1998,Kharif     ,Cotton(lint),12100,19900
1998,Kharif     ,Groundnut,7100,6200
1998,Kharif     ,Jowar,300,500
1998,Kharif     ,Maize,5800,12500
1998,Kharif     ,Moong(Green Gram),15600,9100
1998,Kharif     ,Niger seed,2100,900
1998,Kharif     ,Other Cereals & Millets,4100,2400
1998,Kharif     ,Other Kharif pulses,16800,7000
1998,Kharif     ,Ragi,3000,2100
1998,Kharif     ,Rice,5600,7400
1998,Kharif     ,Sesamum,900,300
1998,Kharif     ,Soyabean,4600,5500
1998,Kharif     ,Sugarcane,59600,5231800
1998,Kharif     ,Sunflower,11500,3500
1998,Kharif     ,Urad,2800,1300
1998,Rabi       ,Gram,59600,40900
1998,Rabi       ,Jowar,453200,227900
1998,Rabi       ,Linseed,1200,400
1998,Rabi       ,Maize,7900,12200
1998,Rabi       ,Other  Rabi pulses,500,300
1998,Rabi       ,Other Cereals & Millets,3000,3700
1998,Rabi       ,Rapeseed &Mustard,200,
1998,Rabi       ,Safflower,30000,18500
1998,Rabi       ,Sesamum,400,100
1998,Rabi       ,Sunflower,9200,5100
1998,Rabi       ,Wheat,124400,154200
1998,Summer     ,Groundnut,15000,25700
1998,Summer     ,Maize,1500,2300
1998,Summer     ,Sunflower,300,200
1999,Kharif     ,Arhar/Tur,19000,9900
1999,Kharif     ,Bajra,310600,178300
1999,Kharif     ,Castor seed,700,200
1999,Kharif     ,Cotton(lint),15000,22600
1999,Kharif     ,Groundnut,7300,5400
1999,Kharif     ,Jowar,800,700
1999,Kharif     ,Maize,6400,9500
1999,Kharif     ,Moong(Green Gram),16800,3700
1999,Kharif     ,Niger seed,2000,500
1999,Kharif     ,Other Kharif pulses,17400,5100
1999,Kharif     ,Ragi,2600,2500
1999,Kharif     ,Rice,5700,8000
1999,Kharif     ,Sesamum,900,200
1999,Kharif     ,Small millets,600,500
1999,Kharif     ,Soyabean,7500,10400
1999,Kharif     ,Sunflower,11200,3900
1999,Kharif     ,Urad,3200,800
1999,Rabi       ,Gram,55300,34600
1999,Rabi       ,Jowar,498300,190900
1999,Rabi       ,Linseed,1100,300
1999,Rabi       ,Maize,8800,13900
1999,Rabi       ,Other  Rabi pulses,1600,700
1999,Rabi       ,Rapeseed &Mustard,100,0
1999,Rabi       ,Safflower,32200,16500
1999,Rabi       ,Sesamum,400,100
1999,Rabi       ,Small millets,800,200
1999,Rabi       ,Sunflower,8800,5000
1999,Rabi       ,Wheat,127000,178800
1999,Summer     ,Groundnut,14100,27800
1999,Summer     ,Maize,1700,2800
1999,Summer     ,Sunflower,300,200
1999,Whole Year ,Sugarcane,66600,5962900
2000,Kharif     ,Arhar/Tur,19100,9400
2000,Kharif     ,Bajra,326100,187300
2000,Kharif     ,Castor seed,500,200
2000,Kharif     ,Cotton(lint),15700,25600
2000,Kharif     ,Groundnut,6800,6100
2000,Kharif     ,Jowar,800,700
2000,Kharif     ,Maize,7000,4400
2000,Kharif     ,Moong(Green Gram),19400,8400
2000,Kharif     ,Niger seed,2300,600
2000,Kharif     ,Other Kharif pulses,19100,6400
2000,Kharif     ,Ragi,4800,4300
2000,Kharif     ,Rice,5500,3800
2000,Kharif     ,Sesamum,1100,200
2000,Kharif     ,Small millets,2700,1500
2000,Kharif     ,Soyabean,7200,6200
2000,Kharif     ,Sunflower,10500,5300
2000,Kharif     ,Urad,3400,1800
2000,Rabi       ,Gram,61000,30300
2000,Rabi       ,Jowar,518700,160800
2000,Rabi       ,Linseed,1200,300
2000,Rabi       ,Maize,14000,16200
2000,Rabi       ,Other  Rabi pulses,600,200
2000,Rabi       ,Rapeseed &Mustard,200,100
2000,Rabi       ,Safflower,30400,14500
2000,Rabi       ,Sesamum,400,100
2000,Rabi       ,Sunflower,7800,4000
2000,Rabi       ,Wheat,94700,135800
2000,Summer     ,Groundnut,11000,18300
2000,Summer     ,Sunflower,200,100
2000,Whole Year ,Sugarcane,67100,5163900
2001,Kharif     ,Arhar/Tur,16700,5400
2001,Kharif     ,Bajra,194400,82000
2001,Kharif     ,Castor seed,200,100
2001,Kharif     ,Cotton(lint),13500,16700
2001,Kharif     ,Groundnut,5700,4500
2001,Kharif     ,Jowar,200,100
2001,Kharif     ,Maize,6400,9800
2001,Kharif     ,Moong(Green Gram),21000,3600
2001,Kharif     ,Niger seed,2200,400
2001,Kharif     ,Other Kharif pulses,8900,2200
2001,Kharif     ,Ragi,4600,7000
2001,Kharif     ,Rice,7300,4100
2001,Kharif     ,Sesamum,800,300
2001,Kharif     ,Small millets,1400,900
2001,Kharif     ,Soyabean,7600,9000
2001,Kharif     ,Sunflower,8600,2900
2001,Kharif     ,Urad,4500,900
2001,Rabi       ,Gram,60000,33100
2001,Rabi       ,Jowar,528900,175000
2001,Rabi       ,Linseed,1300,300
2001,Rabi       ,Maize,12300,22600
2001,Rabi       ,Other  Rabi pulses,800,400
2001,Rabi       ,Rapeseed &Mustard,100,10
2001,Rabi       ,Safflower,27400,11700
2001,Rabi       ,Sesamum,200,10
2001,Rabi       ,Small millets,6000,2900
2001,Rabi       ,Sunflower,5400,7000
2001,Rabi       ,Wheat,93800,156300
2001,Summer     ,Groundnut,11000,17200
2001,Summer     ,Maize,1500,2100
2001,Summer     ,Sunflower,100,100
2001,Whole Year ,Sugarcane,52000,3596300
2002,Kharif     ,Arhar/Tur,14600,5700
2002,Kharif     ,Bajra,218400,158900
2002,Kharif     ,Castor seed,100,10
2002,Kharif     ,Cotton(lint),10800,8300
2002,Kharif     ,Groundnut,5800,4000
2002,Kharif     ,Jowar,100,100
2002,Kharif     ,Maize,7000,12300
2002,Kharif     ,Moong(Green Gram),21000,10100
2002,Kharif     ,Niger seed,2600,700
2002,Kharif     ,Other Kharif pulses,13600,2400
2002,Kharif     ,Ragi,4600,3900
2002,Kharif     ,Rice,7400,1700
2002,Kharif     ,Sesamum,1300,200
2002,Kharif     ,Small millets,3400,1300
2002,Kharif     ,Soyabean,15100,18800
2002,Kharif     ,Sunflower,9300,3500
2002,Kharif     ,Urad,4700,2200
2002,Rabi       ,Gram,64500,26500
2002,Rabi       ,Jowar,494900,117300
2002,Rabi       ,Linseed,1000,200
2002,Rabi       ,Maize,11700,9100
2002,Rabi       ,Other  Rabi pulses,600,200
2002,Rabi       ,Rapeseed &Mustard,100,10
2002,Rabi       ,Safflower,24700,7800
2002,Rabi       ,Sesamum,100,10
2002,Rabi       ,Small millets,1700,400
2002,Rabi       ,Sunflower,4200,1800
2002,Rabi       ,Wheat,70400,88500
2002,Summer     ,Groundnut,5800,9900
2002,Summer     ,Maize,1100,1800
2002,Whole Year ,Sugarcane,49400,3303000
2003,Kharif     ,Arhar/Tur,9000,3000
2003,Kharif     ,Bajra,204100,70800
2003,Kharif     ,Cotton(lint),10400,10400
2003,Kharif     ,Groundnut,4200,2600
2003,Kharif     ,Jowar,100,200
2003,Kharif     ,Maize,6700,6400
2003,Kharif     ,Moong(Green Gram),8800,2500
2003,Kharif     ,Niger seed,2100,600
2003,Kharif     ,Other Kharif pulses,10700,1600
2003,Kharif     ,other oilseeds,100,0
2003,Kharif     ,Ragi,4600,3700
2003,Kharif     ,Rice,7600,5900
2003,Kharif     ,Sesamum,700,200
2003,Kharif     ,Small millets,1300,400
2003,Kharif     ,Soyabean,17900,18500
2003,Kharif     ,Sunflower,7500,2000
2003,Kharif     ,Urad,3500,1800
2003,Rabi       ,Gram,50900,20500
2003,Rabi       ,Jowar,478300,55100
2003,Rabi       ,Linseed,800,200
2003,Rabi       ,Maize,10500,5400
2003,Rabi       ,Other  Rabi pulses,200,0
2003,Rabi       ,Rapeseed &Mustard,200,100
2003,Rabi       ,Safflower,20300,3400
2003,Rabi       ,Sesamum,100,100
2003,Rabi       ,Small millets,900,100
2003,Rabi       ,Sunflower,2100,700
2003,Rabi       ,Wheat,39200,39500
2003,Summer     ,Groundnut,1300,2400
2003,Summer     ,Sunflower,100,100
2003,Whole Year ,Banana,100,11170
2003,Whole Year ,Grapes,331,7074
2003,Whole Year ,Mango,9294,17180
2003,Whole Year ,Onion,30003,296694
2003,Whole Year ,Sugarcane,31200,1486800
2003,Whole Year ,Tomato,1647,3291
2004,Kharif     ,Arhar/Tur,12200,4800
2004,Kharif     ,Bajra,240500,143400
2004,Kharif     ,Groundnut,5300,3900
2004,Kharif     ,Jowar,100,100
2004,Kharif     ,Maize,11400,14000
2004,Kharif     ,Moong(Green Gram),13100,4300
2004,Kharif     ,Niger seed,2500,800
2004,Kharif     ,Other Cereals & Millets,2900,1000
2004,Kharif     ,Other Kharif pulses,16300,4100
2004,Kharif     ,other oilseeds,500,200
2004,Kharif     ,Ragi,3000,2400
2004,Kharif     ,Rice,8000,5800
2004,Kharif     ,Sesamum,1100,400
2004,Kharif     ,Sunflower,11000,5800
2004,Kharif     ,Urad,5000,3100
2004,Rabi       ,Gram,61700,40900
2004,Rabi       ,Jowar,555000,263300
2004,Rabi       ,Linseed,1100,200
2004,Rabi       ,Maize,10900,22100
2004,Rabi       ,Other  Rabi pulses,300,100
2004,Rabi       ,Other Cereals & Millets,900,200
2004,Rabi       ,Rapeseed &Mustard,200,0
2004,Rabi       ,Safflower,20800,12400
2004,Rabi       ,Sesamum,100,0
2004,Rabi       ,Soyabean,35500,51800
2004,Rabi       ,Sunflower,2600,1500
2004,Rabi       ,Wheat,89300,154600
2004,Summer     ,Groundnut,9500,11700
2004,Summer     ,Maize,3100,4300
2004,Summer     ,Sunflower,100,100
2004,Whole Year ,Cotton(lint),15900,26700
2004,Whole Year ,Sugarcane,17000,1001800
2005,Kharif     ,Arhar/Tur,11100,3800
2005,Kharif     ,Bajra,217700,54800
2005,Kharif     ,Castor seed,400,100
2005,Kharif     ,Cotton(lint),16600,22800
2005,Kharif     ,Groundnut,4900,2400
2005,Kharif     ,Moong(Green Gram),8700,2400
2005,Kharif     ,Niger seed,2300,700
2005,Kharif     ,Ragi,2900,2300
2005,Kharif     ,Rice,800,400
2005,Kharif     ,Sesamum,1000,200
2005,Kharif     ,Soyabean,37500,38800
2005,Kharif     ,Sugarcane,56600,4395300
2005,Kharif     ,Sunflower,10100,5900
2005,Kharif     ,Urad,3700,1300
2005,Rabi       ,Gram,68600,47100
2005,Rabi       ,Linseed,1200,400
2005,Rabi       ,Rapeseed &Mustard,300,100
2005,Rabi       ,Safflower,21000,7200
2005,Rabi       ,Sesamum,100,100
2005,Rabi       ,Sunflower,2500,1000
2005,Rabi       ,Wheat,103100,153800
2005,Summer     ,Groundnut,9500,16200
2005,Summer     ,Sunflower,100,100
2006,Kharif     ,Arhar/Tur,13000,6600
2006,Kharif     ,Bajra,243900,148900
2006,Kharif     ,Cotton(lint),20600,36500
2006,Kharif     ,Groundnut,6100,4800
2006,Kharif     ,Jowar,100,100
2006,Kharif     ,Maize,17900,42400
2006,Kharif     ,Moong(Green Gram),16700,9900
2006,Kharif     ,Niger seed,2700,700
2006,Kharif     ,Ragi,3100,2100
2006,Kharif     ,Rice,8400,6600
2006,Kharif     ,Sesamum,900,200
2006,Kharif     ,Soyabean,49000,64500
2006,Kharif     ,Sunflower,11800,6000
2006,Kharif     ,Urad,6100,2400
2006,Rabi       ,Gram,95800,65700
2006,Rabi       ,Jowar,528400,274000
2006,Rabi       ,Linseed,1000,300
2006,Rabi       ,Maize,15300,20000
2006,Rabi       ,Rapeseed &Mustard,100,25
2006,Rabi       ,Safflower,17100,9300
2006,Rabi       ,Sesamum,100,100
2006,Rabi       ,Sunflower,2800,1100
2006,Rabi       ,Wheat,153900,248100
2006,Summer     ,Groundnut,8300,13100
2006,Summer     ,Maize,1200,1800
2006,Summer     ,Sunflower,100,100
2007,Kharif     ,Arhar/Tur,146,79
2007,Kharif     ,Bajra,2326,1741
2007,Kharif     ,Castor seed,4,1
2007,Kharif     ,Cotton(lint),400,821
2007,Kharif     ,Groundnut,61,54
2007,Kharif     ,Jowar,1,1
2007,Kharif     ,Maize,236,735
2007,Kharif     ,Moong(Green Gram),210,144
2007,Kharif     ,Ragi,26,23
2007,Kharif     ,Rice,86,102
2007,Kharif     ,Sesamum,8,3
2007,Kharif     ,Soyabean,554,845
2007,Kharif     ,Sunflower,94,69
2007,Kharif     ,Urad,93,36
2007,Rabi       ,Gram,873,603
2007,Rabi       ,Jowar,5034,2840
2007,Rabi       ,Linseed,11,3
2007,Rabi       ,Maize,125,274
2007,Rabi       ,Rapeseed &Mustard,2,1
2007,Rabi       ,Safflower,146,87
2007,Rabi       ,Sesamum,1,1
2007,Rabi       ,Sunflower,25,29
2007,Rabi       ,Wheat,1309,2711
2007,Summer     ,Groundnut,26,40
2007,Summer     ,Maize,11,16
2007,Summer     ,Sunflower,1,1
2007,Whole Year ,Sugarcane,1333,103974
2008,Kharif     ,Arhar/Tur,2700,1200
2008,Kharif     ,Bajra,128200,92400
2008,Kharif     ,Castor seed,100,25
2008,Kharif     ,Cotton(lint),59300,93300
2008,Kharif     ,Groundnut,2600,2200
2008,Kharif     ,Jowar,100,100
2008,Kharif     ,Maize,22100,69500
2008,Kharif     ,Moong(Green Gram),600,100
2008,Kharif     ,Niger seed,1400,400
2008,Kharif     ,Ragi,2600,2600
2008,Kharif     ,Rice,9300,9100
2008,Kharif     ,Sesamum,100,100
2008,Kharif     ,Soyabean,55500,40100
2008,Kharif     ,Sugarcane,77500,5564800
2008,Kharif     ,Sunflower,3900,2100
2008,Kharif     ,Urad,600,200
2008,Rabi       ,Gram,90500,65700
2008,Rabi       ,Jowar,507200,327800
2008,Rabi       ,Linseed,600,100
2008,Rabi       ,Maize,102,280
2008,Rabi       ,Rapeseed &Mustard,100,10
2008,Rabi       ,Safflower,11100,7000
2008,Rabi       ,Sesamum,100,100
2008,Rabi       ,Sunflower,2500,1700
2008,Rabi       ,Wheat,138200,219200
2008,Whole Year ,Sugarcane,77500,5564800
2009,Kharif     ,Arhar/Tur,12100,6200
2009,Kharif     ,Bajra,190700,115400
2009,Kharif     ,Castor seed,100,18
2009,Kharif     ,Cotton(lint),82700,125100
2009,Kharif     ,Groundnut,3600,2700
2009,Kharif     ,Maize,38500,110300
2009,Kharif     ,Moong(Green Gram),12800,7800
2009,Kharif     ,Niger seed,1900,500
2009,Kharif     ,Ragi,2600,1700
2009,Kharif     ,Rice,7400,2800
2009,Kharif     ,Sesamum,300,20
2009,Kharif     ,Soyabean,58000,53200
2009,Kharif     ,Sugarcane,75600,6339000
2009,Kharif     ,Sunflower,7500,2500
2009,Kharif     ,Urad,10700,5000
2009,Rabi       ,Gram,102300,75700
2009,Rabi       ,Jowar,520500,350600
2009,Rabi       ,Linseed,600,100
2009,Rabi       ,Maize,11600,26000
2009,Rabi       ,Rapeseed &Mustard,100,50
2009,Rabi       ,Safflower,11100,8500
2009,Rabi       ,Sesamum,100,23
2009,Rabi       ,Sunflower,2200,1200
2009,Rabi       ,Wheat,129500,216000
2010,Kharif     ,Arhar/Tur,17600,11300
2010,Kharif     ,Bajra,196000,186800
2010,Kharif     ,Cotton(lint),101700,221100
2010,Kharif     ,Groundnut,4200,3600
2010,Kharif     ,Maize,45300,139500
2010,Kharif     ,Moong(Green Gram),15900,12400
2010,Kharif     ,Niger seed,1900,700
2010,Kharif     ,Ragi,2800,2600
2010,Kharif     ,Rice,7500,7000
2010,Kharif     ,Sesamum,500,100
2010,Kharif     ,Soyabean,50700,90800
2010,Kharif     ,Sugarcane,126000,11516400
2010,Kharif     ,Sunflower,8200,3400
2010,Kharif     ,Urad,12100,7700
2010,Rabi       ,Gram,115200,94000
2010,Rabi       ,Jowar,540000,318000
2010,Rabi       ,Linseed,500,100
2010,Rabi       ,Maize,13200,26300
2010,Rabi       ,Safflower,8800,5300
2010,Rabi       ,Sesamum,100,30
2010,Rabi       ,Sunflower,1000,800
2010,Rabi       ,Wheat,133700,248900
2011,Kharif     ,Arhar/Tur,12800,6400
2011,Kharif     ,Bajra,184700,179500
2011,Kharif     ,Castor seed,100,20
2011,Kharif     ,Cotton(lint),112000,238100
2011,Kharif     ,Groundnut,4500,3300
2011,Kharif     ,Maize,46300,125500
2011,Kharif     ,Moong(Green Gram),6400,1700
2011,Kharif     ,Niger seed,1900,700
2011,Kharif     ,Other Kharif pulses,6200,1100
2011,Kharif     ,Ragi,2800,3200
2011,Kharif     ,Rice,7900,7800
2011,Kharif     ,Sesamum,500,100
2011,Kharif     ,Soyabean,58600,122700
2011,Kharif     ,Sunflower,3200,1500
2011,Kharif     ,Urad,8100,7500
2011,Rabi       ,Gram,45300,27700
2011,Rabi       ,Jowar,434600,123200
2011,Rabi       ,Linseed,300,100
2011,Rabi       ,Maize,9200,22600
2011,Rabi       ,Other  Rabi pulses,300,300
2011,Rabi       ,Safflower,6700,1800
2011,Rabi       ,Sesamum,200,
2011,Rabi       ,Sunflower,400,200
2011,Rabi       ,Wheat,48100,88700
2011,Summer     ,Groundnut,6800,10500
2011,Summer     ,Sunflower,100,100
2011,Whole Year ,Sugarcane,129500,11879200
2012,Kharif     ,Arhar/Tur,9500,2200
2012,Kharif     ,Bajra,160500,55400
2012,Kharif     ,Castor seed,200,20
2012,Kharif     ,Cotton(lint),96200,88100
2012,Kharif     ,Groundnut,4200,2400
2012,Kharif     ,Maize,45000,91900
2012,Kharif     ,Moong(Green Gram),5700,600
2012,Kharif     ,Niger seed,2000,700
2012,Kharif     ,Other Kharif pulses,3800,600
2012,Kharif     ,Ragi,2800,3100
2012,Kharif     ,Rice,7500,4600
2012,Kharif     ,Sesamum,300,100
2012,Kharif     ,Soyabean,56800,28100
2012,Kharif     ,Sunflower,1400,500
2012,Kharif     ,Urad,6100,1100
2012,Rabi       ,Gram,59400,21700
2012,Rabi       ,Jowar,444800,67000
2012,Rabi       ,Linseed,400,40
2012,Rabi       ,Maize,14700,24800
2012,Rabi       ,Other  Rabi pulses,1500,500
2012,Rabi       ,Safflower,1000,50
2012,Rabi       ,Sunflower,200,50
2012,Rabi       ,Wheat,38900,46100
2012,Summer     ,Groundnut,1000,1200
2012,Summer     ,Maize,200,200
2012,Whole Year ,Sugarcane,115500,8235700
2013,Kharif     ,Arhar/Tur,11000,9200
2013,Kharif     ,Bajra,181800,188200
2013,Kharif     ,Cotton(lint),104700,222400
2013,Kharif     ,Groundnut,4700,3700
2013,Kharif     ,Maize,61000,296900
2013,Kharif     ,Moong(Green Gram),5700,4800
2013,Kharif     ,Niger seed,2000,700
2013,Kharif     ,Other Kharif pulses,10400,3100
2013,Kharif     ,Ragi,2800,3600
2013,Kharif     ,Rice,7900,19000
2013,Kharif     ,Sesamum,200,100
2013,Kharif     ,Soyabean,65900,74500
2013,Kharif     ,Sunflower,1300,800
2013,Kharif     ,Urad,6100,3000
2013,Rabi       ,Gram,120700,93300
2013,Rabi       ,Jowar,503900,354500
2013,Rabi       ,Linseed,200,100
2013,Rabi       ,Maize,20900,59300
2013,Rabi       ,Other  Rabi pulses,800,400
2013,Rabi       ,Safflower,1600,200
2013,Rabi       ,Sesamum,600,100
2013,Rabi       ,Sunflower,100,
2013,Rabi       ,Wheat,51900,100700
2013,Summer     ,Groundnut,1500,2400
2013,Summer     ,Maize,1000,1500
2013,Whole Year ,Sugarcane,110800,9643600
2014,Kharif     ,Arhar/Tur,9100,1800
2014,Kharif     ,Bajra,186000,107700
2014,Kharif     ,Castor seed,100,
2014,Kharif     ,Cotton(lint),102600,96700
2014,Kharif     ,Groundnut,4300,2800
2014,Kharif     ,Maize,68100,176100
2014,Kharif     ,Moong(Green Gram),5600,3200
2014,Kharif     ,Niger seed,1500,400
2014,Kharif     ,Other Kharif pulses,3000,800
2014,Kharif     ,Ragi,3000,3300
2014,Kharif     ,Rice,8600,2200
2014,Kharif     ,Soyabean,58200,35900
2014,Kharif     ,Sunflower,800,400
2014,Rabi       ,Gram,115200,85200
2014,Rabi       ,Jowar,443600,279800
2014,Rabi       ,Linseed,200,
2014,Rabi       ,Maize,29400,57600
2014,Rabi       ,Other  Rabi pulses,900,200
2014,Rabi       ,Safflower,700,
2014,Rabi       ,Sunflower,100,
2014,Rabi       ,Wheat,57200,85000
